ticker,signal,confidence,thesis,timestamp
SUNPHARMA.NS,cleared,0.5,"HOLD — SUNPHARMA.NS showing mixed signals, technical structure neutral (RSI 20.0, neutral trend), macro regime (NEUTRAL) does not provide clear directional bias.",2026-08-18T04:00:26.286687Z
TRENT.NS,cleared,0.5,"HOLD — TRENT.NS showing mixed signals, technical structure neutral (RSI 50.8, neutral trend), macro regime (NEUTRAL) does not provide clear directional bias.",2026-08-18T04:00:25.869152Z
BAJFINANCE.NS,cleared,0.5,"HOLD — BAJFINANCE.NS showing mixed signals, technical structure neutral (RSI 57.6, neutral trend), macro regime (NEUTRAL) does not provide clear directional bias.",2026-08-18T04:00:25.444007Z
HCLTECH.NS,cleared,0.5,"HOLD — HCLTECH.NS showing mixed signals, technical structure neutral (RSI 48.0, neutral trend), macro regime (NEUTRAL) does not provide clear directional bias.",2026-08-18T04:00:24.986761Z
KOTAKBANK.NS,cleared,0.5,"HOLD — KOTAKBANK.NS showing mixed signals, technical structure neutral (RSI 57.1, neutral trend), macro regime (NEUTRAL) does not provide clear directional bias.",2026-08-18T04:00:24.579507Z
ITC.NS,cleared,0.45,"HOLD — ITC.NS showing mixed signals, technical structure neutral (RSI 30.6, neutral trend), macro regime (NEUTRAL) does not provide clear directional bias.",2026-08-18T04:00:23.878832Z
BHARTIARTL.NS,cleared,0.5,"HOLD — BHARTIARTL.NS showing mixed signals, technical structure neutral (RSI 47.8, neutral trend), macro regime (NEUTRAL) does not provide clear directional bias.",2026-08-18T04:00:23.355086Z
SBIN.NS,cleared,0.5,"HOLD — SBIN.NS showing mixed signals, technical structure neutral (RSI 65.1, neutral trend), macro regime (NEUTRAL) does not provide clear directional bias.",2026-08-18T04:00:22.934271Z
INFY.NS,cleared,0.5,"HOLD — INFY.NS showing mixed signals, technical structure neutral (RSI 41.1, neutral trend), macro regime (NEUTRAL) does not provide clear directional bias.",2026-08-18T04:00:22.583432Z
HDFCBANK.NS,cleared,0.5,"HOLD — HDFCBANK.NS showing mixed signals, technical structure neutral (RSI 28.7, neutral trend), macro regime (NEUTRAL) does not provide clear directional bias.",2026-08-18T04:00:22.220291Z
TCS.NS,cleared,0.5,"HOLD — TCS.NS showing mixed signals, technical structure neutral (RSI 37.7, neutral trend), macro regime (NEUTRAL) does not provide clear directional bias.",2026-08-18T04:00:21.870928Z
RELIANCE.NS,cleared,0.5,"HOLD — RELIANCE.NS showing mixed signals, technical structure neutral (RSI 62.6, neutral trend), macro regime (NEUTRAL) does not provide clear directional bias.",2026-08-18T04:00:21.497792Z
SUNPHARMA.NS,cleared,0.7,"BUY signal supported by, consolidating price action near equilibrium levels, risk-on macro regime (VIX 15.19, 10Y 4.724%) providing favorable backdrop.",2026-08-18T03:15:16.161527Z
TRENT.NS,cleared,0.55,"HOLD — TRENT.NS showing mixed signals, technical structure neutral (RSI 51.7, neutral trend), macro regime (RISK_ON) does not provide clear directional bias.",2026-08-18T03:15:15.550331Z
BAJFINANCE.NS,cleared,0.55,"HOLD — BAJFINANCE.NS showing mixed signals, technical structure neutral (RSI 58.4, neutral trend), macro regime (RISK_ON) does not provide clear directional bias.",2026-08-18T03:15:15.081241Z
HCLTECH.NS,cleared,0.55,"HOLD — HCLTECH.NS showing mixed signals, technical structure neutral (RSI 63.2, neutral trend), macro regime (RISK_ON) does not provide clear directional bias.",2026-08-18T03:15:14.654640Z
KOTAKBANK.NS,cleared,0.55,"HOLD — KOTAKBANK.NS showing mixed signals, technical structure neutral (RSI 60.3, neutral trend), macro regime (RISK_ON) does not provide clear directional bias.",2026-08-18T03:15:14.169388Z
ITC.NS,cleared,0.5,"HOLD — ITC.NS showing mixed signals, technical structure neutral (RSI 33.8, neutral trend), macro regime (RISK_ON) does not provide clear directional bias.",2026-08-18T03:15:13.646164Z
BHARTIARTL.NS,cleared,0.55,"HOLD — BHARTIARTL.NS showing mixed signals, technical structure neutral (RSI 62.1, neutral trend), macro regime (RISK_ON) does not provide clear directional bias.",2026-08-18T03:15:13.174335Z
SBIN.NS,cleared,0.55,"HOLD — SBIN.NS showing mixed signals, technical structure neutral (RSI 65.1, neutral trend), macro regime (RISK_ON) does not provide clear directional bias.",2026-08-18T03:15:12.700378Z
INFY.NS,cleared,0.55,"HOLD — INFY.NS showing mixed signals, technical structure neutral (RSI 57.4, neutral trend), macro regime (RISK_ON) does not provide clear directional bias.",2026-08-18T03:15:12.142902Z
HDFCBANK.NS,cleared,0.55,"HOLD — HDFCBANK.NS showing mixed signals, technical structure neutral (RSI 44.8, neutral trend), macro regime (RISK_ON) does not provide clear directional bias.",2026-08-18T03:15:11.533406Z
TCS.NS,cleared,0.55,"HOLD — TCS.NS showing mixed signals, technical structure neutral (RSI 43.5, neutral trend), macro regime (RISK_ON) does not provide clear directional bias.",2026-08-18T03:15:10.951890Z
RELIANCE.NS,cleared,0.55,"HOLD — RELIANCE.NS showing mixed signals, technical structure neutral (RSI 63.0, neutral trend), macro regime (RISK_ON) does not provide clear directional bias.",2026-08-18T03:15:10.502215Z
SUNPHARMA.NS,cleared,0.7,"SUNPHARMA.NS is trading marginally above its 50‑day SMA (1917.5 vs 1904.2) with an RSI of 28.1 indicating oversold conditions and a positive MACD (+4.35) that points to emerging bullish momentum despite light volume. The prevailing risk‑on environment—characterized by a low VIX (14.25), stable credit conditions and ample liquidity—has historically benefitted defensive sectors such as healthcare, and recent 13F filings show renewed institutional allocation to the space. Accordingly, we initiate a BUY on SUNPHARMA.NS, targeting a move toward the upper bound of its 52‑week range.",2026-08-17T04:07:20.708414Z
TRENT.NS,cleared,0.55,"The stock is trading marginally beneath its 50‑day SMA (≈ 2976 vs 3016) with a neutral trend, mid‑range RSI (55.4) and a modestly positive MACD (3.85) on light volume, suggesting limited near‑term directional impetus. In a risk‑on backdrop—characterized by a low VIX (14.3), stable credit spreads, and a 10‑year Treasury yield near 4.7%—the broader consumer‑cyclical sector remains vulnerable to inflation‑linked cost pressures, while the modest institutional interest reflected in three recent 13F filings signals no fresh accumulation. Consequently, the balance of technical, macro and positioning factors supports a HOLD rating on TRENT.NS.",2026-08-17T04:07:19.601716Z
